epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,15031.9,0.73667,0.98047,1.04697,0.65633,0.53183,0.58356,0.45665,0.76786,1.02946,0.91765,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,15215.2,0.73408,0.98026,1.04771,0.6593,0.53525,0.58687,0.46046,0.76444,1.02331,0.91516,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,15396.2,0.73259,0.97286,1.05148,0.66324,0.52747,0.58558,0.46021,0.76101,1.02342,0.91118,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,15576.4,0.73734,0.96946,1.04703,0.64425,0.54679,0.58797,0.46065,0.76791,1.02254,0.91732,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,15758.3,0.72873,0.96496,1.04237,0.64446,0.53971,0.58733,0.46005,0.77116,1.02589,0.91986,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,15939.6,0.7382,0.96575,1.04881,0.63281,0.54448,0.58451,0.45852,0.76886,1.0291,0.91652,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,16119.8,0.72997,0.96831,1.04666,0.68123,0.51505,0.58545,0.45828,0.76967,1.02892,0.91852,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,16300.5,0.71433,0.94637,1.04114,0.66139,0.52592,0.5857,0.45909,0.76555,1.02861,0.91502,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,16484.6,0.72452,0.94438,1.04145,0.63036,0.54786,0.58871,0.46109,0.76484,1.02416,0.91556,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
92,16667.9,0.71127,0.93409,1.03729,0.65702,0.53546,0.5883,0.46061,0.76443,1.02764,0.91677,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925
